artist,album_id,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
Bedoes,27jr2mm1CuHLXeFJNz9qSx,1,1,442,2.14861409529735,0.963800904977376,0.212669683257919,0.0294117647058824,0.0106382978723404,0.0425531914893617,0.0957446808510638,0.0106382978723404,0.0106382978723404,0.0212765957446809,0,0.0319148936170213,0.0531914893617021,0.0106382978723404,0.0106382978723404,0.0106382978723404,2.28800692234043,2.50960781170213,3.7307616712766,2.19279264361702,1.90872582021277,1.87555313829787,2.09891192340426,2.94409591595745,1.76322969361702,1.6015032893617
Bedoes,3b27EhtG3YNCX2XK3PcDkS,5,3,744,2.21812121555428,0.333333333333333,0.0134408602150538,0,0,0,0.1,0,0,0.6,0,0,0.1,0,0,0,1.3814815,1.45925926,3.51851855,1.47037033,1.40370376,0.42592592,0.43703704,1.52962967,0.45555555,0.35925926
Bedoes,7pYj3uvxrX3Rr7Zr3ZkbFA,1,1,370,2.06701601099429,0.986486486486486,0.264864864864865,0.0324324324324324,0,0.0204081632653061,0.142857142857143,0,0,0.306122448979592,0,0.0204081632653061,0.13265306122449,0,0,0.306122448979592,1.76949240816327,2.14029885816327,3.49361877142857,1.87039944183673,1.58020814693878,1.49843013469388,1.66602708469388,2.86278269387755,1.51305309387755,1.28569974285714
Bedoes,2IQYeXJ5oBDq9RfYDr9Nmn,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedoes,24kpUp8pD2Ty150AqnThlp,1,1,435,2.19701408109255,0.974712643678161,0.245977011494253,0.00919540229885057,0,0.0654205607476636,0.0186915887850467,0.0280373831775701,0,0,0,0.0560747663551402,0.00934579439252336,0.0280373831775701,0,0,2.42467449719626,2.86905238037383,3.28364883831776,2.37790560841122,1.9185371588785,1.75385413271028,2.13828314859813,1.952845,1.72413932897196,1.37076976261682
Bedoes,3IxI2dTTOSD7Pp0E6Yombi,1,1,380,1.75970733288569,0.942105263157895,0.197368421052632,0.0105263157894737,0.0133333333333333,0,0.173333333333333,0.0266666666666667,0,0,0,0,0.0933333333333333,0.0266666666666667,0,0,1.980000004,2.31981005466667,4.27670468933333,2.24731247333333,1.722981952,1.37804369066667,1.69097814933333,2.85754037066667,1.524121576,1.21669515066667
Bedoes,3RFVnlaIBXtSnfLIFz3OSq,1,1,314,1.70714336198507,0.974522292993631,0.245222929936306,0,0,0.038961038961039,0.0649350649350649,0.012987012987013,0,0,0,0.038961038961039,0.038961038961039,0.012987012987013,0,0,2.95923361948052,3.12212875584416,2.61553295714286,3.14438293636364,1.98350674935065,1.2209533961039,1.40114602467532,1.54045988961039,1.30259504545455,0.951686685714286
Bedoes,41pf3ywyXN8ZvbBpNj2adc,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedoes,1MsY2TKILloKyo5RCaJc5a,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedoes,5bto9oauKYRqkHOXa35Dp5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
