artist,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
Fokus,37,17,7613,1.90208592341487,0.962432680940496,0.215946407460922,0.0140549060817024,0.00790754257907543,0.0188564476885645,0.147201946472019,0.0139902676399027,0.00121654501216545,0.0352798053527981,0.00425790754257908,0.0170316301703163,0.0857664233576642,0.0121654501216545,0.00121654501216545,0.0285888077858881,1.93077824008516,2.22039999781022,3.99727969738443,1.98386778613139,1.60369747177616,1.39519776301703,1.64368401344282,2.85287822001217,1.41438867986618,1.15788050863747
Grammatik,76,38,12468,1.6849768930583,0.964629451395573,0.235563041385948,0.00176451716393969,0.0129383724889343,0.0187265917602996,0.0755873340143003,0.0163432073544433,0.00136193394620361,0.0377936670071502,0.00783112019067075,0.0183861082737487,0.0456247871978209,0.0153217568947906,0.00136193394620361,0.0333673816819884,2.04812990909091,2.40122001423221,3.84562204296902,2.20379198093293,1.64546502618318,1.4515116586653,1.7405738907048,2.63995642604699,1.5569718154239,1.16106469462036
Grubson,125,40,13067,1.3964117763668,0.92331828269687,0.188719675518482,0.00413254763909084,0.0150040551500406,0.0202757502027575,0.0884022708840227,0.0113544201135442,0.0056772100567721,0.0283860502838605,0.00689375506893755,0.0182481751824818,0.0450121654501217,0.0101378751013788,0.0056772100567721,0.0206812652068127,2.06927393057583,2.39828828304947,3.8330390554339,2.15104362141119,1.68702181739659,1.41021038122466,1.66182104339011,2.57614500429846,1.45942218552311,1.15209437854826
Guzior,44,21,9885,2.04768782175732,0.93343449671219,0.157713707637835,0.0204350025290845,0.0288646568313021,0.0205259781911482,0.0962155227710071,0.00962155227710071,0.0109044259140475,0.0275817831943554,0.018601667735728,0.0205259781911482,0.0461834509300834,0.00962155227710071,0.0102629890955741,0.0237331622835151,2.11872375375241,2.31624803078897,3.67611465618987,2.10339877177678,1.74912644996793,1.50389193951251,1.67712477075048,2.47903181173829,1.47938765574086,1.24793403277742
Hemp Gru,100,47,21798,1.96393435208411,0.94884851821268,0.205339939443986,0.00600972566290485,0.0160857908847185,0.0292672028596962,0.0694816800714924,0.0107238605898123,0.00268096514745308,0.0297140303842717,0.00804289544235925,0.0270330652368186,0.0482573726541555,0.0100536193029491,0.00268096514745308,0.0243521000893655,2.127080650916,2.45702337542449,3.70080687068811,2.1899253266756,1.75920746802949,1.51352925735031,1.78876539763181,2.61740604311886,1.5444985906613,1.23963905406613
HIFI Banda,41,25,9636,1.69252468265162,0.962017434620174,0.208592777085928,0.00809464508094645,0.0149253731343284,0.0228855721393035,0.0701492537313433,0.0119402985074627,0.00497512437810945,0.0313432835820896,0.00646766169154229,0.0223880597014925,0.0388059701492537,0.0114427860696517,0.00497512437810945,0.0258706467661692,2.08465997323383,2.34903476621891,3.74409189258706,2.12258577114428,1.69756131970149,1.55767529671642,1.79577538756219,2.722073049801,1.5873290280597,1.26030672502488
Jan-Rapowanie,53,37,13848,2.10966157359913,0.945190641247834,0.210644136337377,0.0139370306181398,0.0113129928008228,0.0123414466918067,0.0980459376071306,0.0137127185464518,0.00308536167295166,0.0342817963661296,0.00617072334590333,0.0119986287281454,0.0582790538224203,0.0123414466918067,0.00308536167295166,0.0260541652382585,2.06584721093589,2.29688387600274,3.92192572262599,2.08736772817964,1.66569235207405,1.51955213801851,1.69898541991772,2.83157413393898,1.50326159016112,1.22069900380528
Kaliber 44,63,36,14566,1.71655955551879,0.95695455169573,0.199162433063298,0.00432514073870658,0.0199931058255774,0.0210272319889693,0.0944501895897966,0.0103412616339193,0.00241296104791451,0.0537745604963806,0.00999655291278869,0.0193036883833161,0.0503274732850741,0.00999655291278869,0.00241296104791451,0.0479145122371596,1.93540111413306,2.21884124081351,3.84585779189935,1.97626981034126,1.59959893598759,1.34279968221303,1.57297445411927,2.60776324767322,1.36276538131679,1.11006933709066
Kaz Bałagane,160,100,29470,1.54801981633457,0.920529351883271,0.179300984051578,0.0181879877841873,0.0177895533686601,0.0310370931112793,0.0948145344436033,0.00965177895533687,0.00927327781983346,0.0406888720666162,0.0119227857683573,0.0308478425435276,0.0406888720666162,0.00927327781983346,0.00927327781983346,0.036336109008327,2.07991720183573,2.2731933163891,3.73122634625284,2.03772865925435,1.73175793028009,1.51790245910295,1.68586806536715,2.60604975406889,1.45541153563588,1.26720479990537
KęKę,87,68,26566,1.8197852289007,0.946999924715802,0.19555070390725,0.00639915681698412,0.0200192492781521,0.0121270452358037,0.0933589990375361,0.00923965351299326,0.00211742059672762,0.0282964388835419,0.00846968238691049,0.0113570741097209,0.0494706448508181,0.00885466794995188,0.00192492781520693,0.0229066410009625,2.06924091283927,2.30459069122233,3.84929945466795,2.10277999926853,1.6750961307796,1.41272705151107,1.59423334739172,2.58332911445621,1.42063824585178,1.1413635667565
